Country	Rank	Song	Artists	Album	Cover	Link
Ireland	5	BIRDS OF A FEATHER	Billie Eilish	HIT ME HARD AND SOFT	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB
Ireland	6	I Had Some Help (Feat. Morgan Wallen)	Post Malone, Morgan Wallen	I Had Some Help	https://i.scdn.co/image/ab67616d0000b27397306976e3eb8aad53b754eb	https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP
Ireland	7	Good Luck, Babe!	Chappell Roan	Good Luck, Babe!	https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7	https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu
Ireland	8	Austin (Boots Stop Workin')	Dasha	What Happens Now?	https://i.scdn.co/image/ab67616d0000b2734ccf88b66e04cfd247f287eb	https://open.spotify.com/track/2uqYupMHANxnwgeiXTZXzd
Ireland	9	Beautiful Things	Benson Boone	Fireworks & Rollerblades	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii
Ireland	10	Stargazing	Myles Smith	Stargazing	https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a	https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10
United Kingdom	1	Please Please Please	Sabrina Carpenter	Please Please Please	https://i.scdn.co/image/ab67616d0000b273de84adf0e48248ea2d769c3e	https://open.spotify.com/track/5N3hjp1WNayUPZrA8kJmJP
United Kingdom	2	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
United Kingdom	3	BIRDS OF A FEATHER	Billie Eilish	HIT ME HARD AND SOFT	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB
United Kingdom	4	A Bar Song (Tipsy)	Shaboozey	Where I've Been, Isn't Where I'm Going	https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a	https://open.spotify.com/track/5fZJQrFKWQLb7FpJXZ1g7K
United Kingdom	5	Too Sweet	Hozier	Unreal Unearth: Unheard	https://i.scdn.co/image/ab67616d0000b2733e1b212546dac35443735241	https://open.spotify.com/track/5Z0UnEtpLDQyYlWwgi8m9C
